municipio,regiao,nome,tipo,endereco,telefone,email,quantidade_ciptea,quantidade_cipf,quantidade_passe_livre
Abelardo Luz,Oeste,APAE DE ABELARDO LUZ,Ambos,"Rua Levi Linhares, 860, Santa Luzia 89830000",(49)3445-4050,abelardoluz@apaesc.org.br,,,
Agrolândia,Vale do Itajaí,APAE DE AGROLÂNDIA,Ambos,"Rua Leopoldo Zwicker, nº 57 – Agrolândia - SC",(47) 3534-4489,adm@apaeagrolandia.org.br,,,
Água Doce,Oeste,APAE DE ÁGUA DOCE,Ambos,"Rua Kurt Quelmmaiz, nº 185 – Água Doce - SC",(49) 3524-0405,apaeaguadoce@yahoo.com.br,,,
Anchieta,Oeste,APAE DE ANCHIETA,Ambos,"Rua Olimpio Dal Magro, 333, Anchieta – SC 89970000",(49) 3653-0047,apaeanchieta@hotmail.com,,,
Anita Garibaldi,Serra,APAE DE ANITA GARIBALDI,CIPTEA,Rua Vicente Fernandes da Silva - Anita Garibaldi /SC,(49) 3543-0291,apaeanita@yahoo.com,,,
Apiúna,Vale do Itajaí,APAE DE APIÚNA,Ambos,"Rua Ponta Grossa, 93 Centro, 89135-000",(47) 3353-0244,apae.apiuna@hotmail.com,,,
Araranguá,Sul,AMAESC - Associação dos Pais e Amigos dos Autistas do Extremo Sul Catarinense,CIPTEA,"Rua Caetano Lummertz, 1319 - Bairro Urussanguinha - Araranguá CEP 88.905-468",(48)9838-0675 / (48)9955-1177,associacaoamaesc@gmail.com,,,
Aráranguá,Sul,APAE de Araranguá,Passe Livre,"Av. 15 de Novembro, 2333 - Vila Sao Jose, Araranguá - SC, 88900-104",(48) 3524-4515,apaeararangua@gmail.com,,,
Armazém,Sul,APAE DE ARMAZÉM,Passe Livre,Rua Manoel Xisto da Rosa s/nº - Bairro Vila José Nazário – Armazém - SC – CEP 88740-000,(48) 3645-0005,apaearmazem@hotmail.com,,,
Balneário Camboriú,Vale do Itajaí,AMA LITORAL,CIPTEA,Rua 2.080 nº 51 - Bairro Centro – CEP 88.330-452 - Balneário Cambóriu/SC,(47) 3264-0244 / (47) 3367-4196,amalitoralsc@hotmail.com,,,
Balneário Camboriú,Vale do Itajaí,APAE de Balneário Camboriú,Passe Livre,"Rua 1926, 1260 - Centro, Balneário Camboriú - SC, 88330-478",(47) 3367-0636,escola@apaebalneariocamboriu.org.br,,,
